Step,8-dim,16-dim,32-dim,64-dim,128-dim,256-dim,512-dim
103,3.3295106887817383,3.3006296157836914,3.251089096069336,3.1592347621917725,3.1740219593048096,3.122440814971924,3.028968811035156
106,3.449209213256836,3.218092441558838,3.294886589050293,3.172150135040283,3.206110954284668,3.127878189086914,3.1354787349700928
107,3.575699806213379,3.121194839477539,3.1594724655151367,3.268557548522949,3.145869016647339,3.167893409729004,3.24424409866333
108,3.450188636779785,3.2300679683685303,3.201324462890625,3.340184450149536,3.1847100257873535,3.1066694259643555,2.9279675483703613
109,3.549293041229248,3.237927198410034,3.2490487098693848,3.061442613601685,3.1717653274536133,3.262472152709961,2.994226455688477
110,3.4870619773864746,3.143948554992676,3.372554302215576,3.171779155731201,3.1882987022399902,3.221498489379883,3.1016340255737305
111,3.522116184234619,3.2512731552124023,3.2164525985717773,3.268272399902344,3.1220102310180664,3.048117160797119,3.117725610733032
114,3.4980716705322266,3.1952927112579346,3.103527069091797,3.20467758178711,3.0809082984924316,3.15944242477417,3.11417007446289
115,3.4063806533813477,3.121445655822754,3.267664909362793,3.0416951179504395,3.16146183013916,3.0936295986175537,2.931528806686402
116,3.656768321990967,3.328810214996338,3.066765308380127,3.267584800720215,3.1138763427734375,3.0755836963653564,3.006756544113159
117,3.444448709487915,3.308772563934326,3.219915866851806,3.200674533843994,2.9970719814300537,3.1660385131835938,2.9714250564575195
118,3.531259059906006,3.118886947631836,3.1792023181915283,3.059030532836914,3.3029298782348633,3.12559175491333,3.0261716842651367
119,3.4222583770751953,3.2789735794067383,3.346834182739258,3.1272690296173096,3.0372867584228516,3.019422769546509,3.202915668487549
122,3.404313564300537,3.0875227451324463,2.9136648178100586,3.143765926361084,2.9867076873779297,3.072105884552002,2.929098129272461
123,3.498201370239258,3.25966215133667,3.180098056793213,3.0298571586608887,3.0902795791625977,3.0620055198669434,2.962660312652588
124,3.4775593280792236,3.166218519210815,3.0860514640808105,3.0555520057678223,3.165766716003418,3.1598174571990967,3.0254805088043213
125,3.4346156120300293,3.288210153579712,3.095355749130249,2.932029962539673,3.0717246532440186,2.9017300605773926,2.858054876327514
126,3.2824206352233887,3.153902530670166,3.177940368652344,3.083561897277832,3.066028594970703,3.0955209732055664,3.011146068572998
127,3.3790268898010254,3.204916715621948,3.0845799446105957,3.074475049972534,3.165677070617676,3.0743141174316406,3.0960192680358887
130,3.2793047428131104,3.0651330947875977,3.123778820037842,3.0436854362487793,3.0052247047424316,3.1051878929138184,2.892805576324463
131,3.304226875305176,3.108128547668457,3.0204241275787354,3.114593505859375,3.091277599334717,2.96268081665039,2.9288058280944824
132,3.390899181365967,3.059352159500122,3.1498823165893555,3.0256266593933105,3.063786268234253,3.0304245948791504,2.988527536392212
133,3.3678054809570312,3.031170129776001,3.052966833114624,3.1243386268615723,2.9599204063415527,3.02649450302124,2.9540085792541504
134,3.3681070804595947,3.2441210746765137,3.035653591156006,2.95601749420166,3.1671175956726074,3.0215611457824707,2.934316635131836
135,3.24758243560791,3.17067551612854,3.097414493560791,3.076648235321045,3.006481647491455,3.0000181198120117,2.9081811904907227
136,3.336519479751587,3.0938615798950195,3.036562919616699,3.0777270793914795,2.9855165481567383,2.9675698280334473,3.0102715492248535
139,3.3190159797668457,3.035766839981079,3.038966417312622,3.0262842178344727,2.9744300842285156,3.0850796699523926,2.87557601928711
140,3.363485336303711,3.1695895195007324,2.973080635070801,2.916436195373535,2.9532527923583984,2.9166135787963867,2.9684720039367676
141,3.281666040420532,3.0968472957611084,3.1921944618225098,2.995124340057373,3.0481600761413574,2.983578681945801,2.9697282314300537
142,3.3335652351379395,3.197392463684082,3.1393613815307617,3.013145446777344,3.020296096801758,2.9501051902770996,2.9796972274780273
143,3.3593597412109375,3.0040903091430664,3.017810344696045,2.926652431488037,3.0141689777374268,2.8775596618652344,3.098590612411499
144,3.3979077339172363,3.032322883605957,2.9631147384643555,3.0715885162353516,3.0236568450927734,2.8954718112945557,3.049327850341797
147,3.381082534790039,3.082329273223877,3.093207359313965,2.888847827911377,2.990607738494873,3.087571144104004,3.051863193511963
148,3.316035270690918,3.1345677375793457,2.936492443084717,2.9831008911132812,3.064317226409912,2.9309699535369873,2.8838858604431152
149,3.259361267089844,3.0006721019744873,3.002962589263916,2.9220447540283203,2.9581923484802246,2.874856472015381,2.875288963317871
150,3.2238402366638184,2.934776782989502,3.0046114921569824,3.060274600982666,2.9175589084625244,3.0299832820892334,2.9345688819885254
151,3.2229273319244385,3.076305389404297,2.7905349731445312,2.9962687492370605,3.100217819213867,2.959557056427002,2.820230722427368
152,3.2577290534973145,3.0179085731506348,2.91195011138916,2.947143077850342,2.9224791526794434,3.0146775245666504,2.9693970680236816
155,3.183844804763794,3.074350357055664,2.979917049407959,2.831242799758911,2.95072078704834,2.8884940147399902,2.785585403442383
156,3.405770778656006,3.1064975261688232,3.0969085693359375,2.902876853942871,2.959683656692505,2.7280802726745605,2.8200929164886475
157,3.2939324378967285,2.9996538162231445,3.033688545227051,3.026031017303467,3.0967836380004883,2.8043465614318848,2.8424835205078125
158,3.267902374267578,2.9223523139953613,3.062864303588867,2.956058979034424,3.098741054534912,2.8739051818847656,2.8163912296295166
159,3.209911584854126,3.0471105575561523,2.967874765396118,2.904674530029297,3.049588680267334,2.931002378463745,2.8941519260406494
160,3.318948745727539,2.9700474739074707,2.9885077476501465,2.9503538608551025,2.9322619438171387,2.970470428466797,2.9034647941589355
163,3.2038352489471436,3.061617374420166,2.818366050720215,2.8470020294189453,2.946053981781006,2.827571392059326,2.7537286281585693
164,3.2289769649505615,2.9468913078308105,2.891761779785156,2.835155487060547,2.9770562648773193,2.724425792694092,2.8164854049682617
165,3.2662646770477295,2.974449396133423,3.0760209560394287,2.908231496810913,2.8710713386535645,2.8429551124572754,2.907602071762085
166,3.2268753051757812,2.9040310382843018,2.843323230743408,2.909489154815674,2.975653171539306,2.792652130126953,2.8823132514953613
167,3.440133571624756,2.9690065383911133,2.9659342765808105,2.919259786605835,2.935091972351074,2.89986252784729,2.839505434036255
168,3.3263328075408936,3.000838279724121,2.983612060546875,2.9405946731567383,2.944551706314087,2.8206326961517334,2.9250288009643555
171,3.0960278511047363,2.8470325469970703,2.8039841651916504,2.9387409687042236,2.9016995429992676,2.782012939453125,2.6231164932250977
172,3.2667038440704346,2.8130850791931152,2.827043294906616,2.99638032913208,2.9069457054138184,2.855110883712769,2.6900694370269775
173,3.2625300884246826,2.92997407913208,2.9678335189819336,3.02047348022461,2.874133586883545,2.907742738723755,2.909251928329468
174,3.224635124206543,2.9233477115631104,2.889600992202759,2.761355400085449,2.9669055938720703,2.839545965194702,2.7852511405944824
175,3.323563575744629,3.0368094444274902,2.786609649658203,2.892961263656616,2.874584674835205,2.7788946628570557,2.673342227935791
176,3.231048583984375,2.979496955871582,2.967465400695801,2.991029977798462,2.9103317260742188,2.972885847091675,2.717724323272705
179,3.071946382522583,3.156187057495117,2.771780252456665,2.74267578125,2.794278383255005,2.8813998699188232,2.701735019683838
180,3.1106574535369873,2.8105905055999756,2.8717379570007324,2.6635727882385254,2.9805712699890137,2.822360038757324,2.813664436340332
181,3.064640522003174,2.926828384399414,2.7661333084106445,2.805466890335083,2.9128873348236084,2.7525243759155273,2.7497363090515137
182,2.97874116897583,2.9297409057617188,2.849142074584961,2.8765740394592285,2.904043674468994,2.835902214050293,2.85331392288208
183,3.0999951362609863,3.0032904148101807,3.0052552223205566,2.7911019325256348,2.872056007385254,2.8002243041992188,2.8350679874420166
184,3.2276670932769775,2.8331403732299805,2.8555798530578613,2.8987131118774414,2.8785853385925293,2.6869828701019287,2.9166126251220703
185,3.2893033027648926,3.0379252433776855,2.9837894439697266,2.816305637359619,2.9895384311676025,2.8467659950256348,2.7801451683044434
188,3.1880042552948,2.838736057281494,2.87744665145874,2.982341766357422,2.886474609375,2.5795860290527344,2.8531575202941895
189,3.195629835128784,2.953347682952881,2.7627487182617188,2.715926170349121,2.9000754356384277,2.798396587371826,2.7075514793395996
190,3.219172477722168,2.9306421279907227,2.920186996459961,2.82101058959961,2.811488628387451,2.703616142272949,2.8379735946655273
191,3.0937724113464355,2.999011993408203,2.7430872917175293,2.772985458374023,2.7822089195251465,2.8160340785980225,2.64377760887146
192,3.256742477416992,2.916572093963623,2.744570255279541,2.711535930633545,2.883310317993164,2.7490406036376953,2.7501749992370605
193,3.216731309890747,2.968351364135742,2.8848767280578613,2.7566652297973633,2.7757716178894043,2.862659215927124,2.7620372772216797
196,3.0108633041381836,2.933585405349731,2.708564519882202,2.718198776245117,2.8473424911499023,2.5322444438934326,2.722154140472412
197,3.0915815830230713,2.950944423675537,2.911159038543701,2.67126989364624,2.7694177627563477,2.705667495727539,2.7618985176086426
198,3.076530933380127,2.9411396980285645,2.8767335414886475,2.799267292022705,2.8056137561798096,2.7282848358154297,2.7130515575408936
199,3.073089361190796,2.760709524154663,2.8759512901306152,2.799968719482422,2.804328441619873,2.7444381713867188,2.6109743118286133
200,3.3183398246765137,2.8332059383392334,2.9054458141326904,2.699559211730957,2.717193603515625,2.746511936187744,2.6900854110717773
201,3.1154775619506836,2.8905997276306152,2.8988752365112305,2.8298659324645996,2.780387163162231,2.732128381729126,2.758628845214844
204,3.036888599395752,2.958937883377075,2.905132532119751,2.6218299865722656,2.7770113945007324,2.7843198776245117,2.5105979442596436
205,3.0620079040527344,2.85558557510376,2.7256622314453125,2.738785743713379,2.754513740539551,2.607511520385742,2.592751979827881
206,3.1176815032958984,3.004439115524292,2.7928996086120605,2.904017925262451,2.770452976226806,2.7871127128601074,2.5861024856567383
207,3.027669906616211,2.813624858856201,2.7862417697906494,2.736678123474121,2.751591205596924,2.609653949737549,2.6647744178771973
208,3.130342721939087,2.9476499557495117,3.00711441040039,2.7331783771514893,2.7826151847839355,2.717230796813965,2.649860382080078
209,3.162095785140991,2.833686351776123,2.723712921142578,2.9025120735168457,2.597627639770508,2.7315080165863037,2.844557285308838
212,2.996422290802002,2.9216461181640625,2.7153401374816895,2.6121296882629395,2.7070140838623047,2.710946559906006,2.716627597808838
213,3.070289134979248,2.8720545768737793,2.723315715789795,2.67627477645874,2.758581161499023,2.579890727996826,2.5088119506835938
214,3.0805163383483887,2.884115934371948,2.741609573364258,2.7567224502563477,2.687349557876587,2.6677093505859375,2.673107385635376
215,3.1114730834960938,2.8786096572875977,2.736952781677246,2.739332675933838,2.7526402473449707,2.672524929046631,2.6148934364318848
216,3.105980157852173,2.8496029376983643,2.757791042327881,2.643752098083496,2.7778143882751465,2.6844642162323,2.5863866806030273
217,2.9865994453430176,2.8328781127929688,2.930772304534912,2.6425068378448486,2.7391624450683594,2.534268379211426,2.7158031463623047
220,3.1344995498657227,2.908148765563965,2.805725336074829,2.5487890243530273,2.8825275897979736,2.5132219791412354,2.573676347732544
221,3.073151111602783,2.8820533752441406,2.708448886871338,2.6894307136535645,2.7192349433898926,2.488619327545166,2.581226348876953
222,3.0705366134643555,2.7327394485473633,2.7720234394073486,2.6312389373779297,2.653266429901123,2.6723341941833496,2.7000091075897217
223,2.9922049045562744,2.822160243988037,2.664266586303711,2.6197080612182617,2.7448973655700684,2.833197116851806,2.619845390319824
224,3.0252857208251953,2.859081745147705,2.7490882873535156,2.728604793548584,2.6035337448120117,2.6590049266815186,2.68609619140625
