Step,8-dim,16-dim,32-dim,64-dim,128-dim,256-dim,512-dim
231,503,508,507,510,504,505,503.0
232,508,509,504,508,506,507,509.0
233,509,507,506,507,509,510,502.0
234,505,508,507,509,508,509,504.0
237,510,502,510,509,507,508,505.0
238,508,510,506,506,510,507,511.0
239,508,510,506,509,501,509,508.0
240,508,506,506,502,508,504,508.0
241,509,510,508,509,508,508,506.0
242,504,508,506,506,512,504,508.0
245,506,509,505,506,510,511,505.0
246,505,508,510,510,509,507,510.0
247,508,507,508,508,509,507,503.0
248,507,507,503,506,507,502,507.0
249,508,510,504,509,507,505,508.0
250,506,506,507,508,504,509,505.0
253,508,507,506,507,504,506,506.0
254,507,501,509,509,505,506,507.0
255,504,508,503,506,510,506,502.0
256,510,508,507,508,505,505,508.0
257,510,508,509,503,510,509,507.0
258,508,508,505,505,510,506,505.0
261,503,509,505,508,506,508,507.0
262,508,505,510,504,510,500,508.0
263,510,508,508,510,507,507,506.0
264,507,508,508,510,506,505,504.0
265,507,507,504,505,507,510,508.0
266,504,511,507,504,505,511,506.0
269,503,510,510,502,506,506,507.0
270,502,506,507,505,504,506,510.0
271,509,508,505,509,507,507,506.0
272,510,506,503,504,504,507,511.0
273,505,504,511,508,507,506,506.0
274,505,506,505,506,510,508,506.0
275,505,506,511,509,505,510,509.0
278,509,508,508,505,502,509,505.0
279,509,508,511,511,504,509,508.0
280,507,510,509,509,510,506,504.0
281,504,505,510,507,509,507,505.0
282,510,507,508,508,508,508,506.0
283,508,507,507,508,509,508,508.0
286,507,507,506,510,505,507,507.0
287,508,507,505,508,511,506,509.0
288,506,507,508,507,507,505,507.0
289,510,506,506,510,504,509,507.0
290,500,508,508,510,507,508,504.0
291,505,509,506,507,509,508,509.0
294,506,507,504,509,508,507,508.0
295,506,508,504,507,505,503,507.0
296,507,510,507,505,509,506,506.0
297,503,505,507,510,505,507,506.0
298,506,502,510,507,507,509,509.0
299,506,505,507,506,509,509,507.0
302,509,507,507,508,508,504,504.0
303,509,507,507,510,510,506,509.0
304,509,508,508,508,509,507,508.0
305,505,507,509,506,511,504,507.0
306,505,511,507,506,505,508,507.0
307,509,503,503,509,503,508,510.0
310,506,507,508,510,510,506,508.0
311,507,507,506,507,509,508,502.0
312,507,509,511,509,503,505,503.0
313,503,508,508,507,503,511,504.0
314,504,507,507,507,508,506,509.0
315,504,509,507,506,511,506,501.0
316,507,506,509,506,508,507,505.0
319,505,509,509,505,512,507,505.0
320,508,509,509,506,508,509,504.0
321,504,509,505,507,504,509,507.0
322,509,509,505,507,508,509,512.0
323,506,506,502,505,509,509,507.0
324,507,506,511,509,510,506,504.0
327,506,509,505,505,509,505,508.0
